Unnamed: 0,Satisfacción - Escala en 10 puntos (%),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,IDAT,,Lleva energía a regiones no atendidas,Empresa que invierte para llevar energía eléctrica a zonas/regiones que no cuentan con el servicio de energía eléctrica,4.96,1.28,2.72,3.36,8.96,9.6,12.48,17.12,9.76,8.48,21.28,100,625,6.713414634146,60.772357723577
,,IDAT,,Contribuye para el desarrollo econ. de la ciudad,Empresa que contribuye para el desarrollo económico del municipio,3.36,1.92,2.88,4.16,9.28,8.96,16.96,15.52,9.44,10.72,16.8,100,625,6.823076923077,63.269230769231
,,IDAT,,Facilita el acceso de ciudadanos con neces. espec.,Empresa que facilita el acceso de los ciudadanos con edad avanzada o personas con discapacitad/capacidades especiales en sus puntos de atención y medios de comunicación con clientes ,3.68,2.4,3.04,5.12,8.48,10.4,12.32,14.4,8.8,12.96,18.4,100,625,6.778431372549,59.411764705882
,,IDAT,,Honesta/ cumple con sus obligaciones,"Empresa honesta, que cumple con sus obligaciones con todos los públicos, sean ellos clientes, empleados, proveedores /suministradores, gobierno etc.",3.84,2.24,3.84,4.32,9.76,11.52,17.44,17.12,6.72,10.08,13.12,100,625,6.622467771639,59.116022099448
,,IDAT,,Se ocupa de evitar hurtos de energía,"Empresa que se ocupa de evitar fraudes como los hurtos de energía, etc",5.44,3.84,3.84,5.6,8.8,9.12,13.44,14.08,11.04,14.72,10.08,100,625,6.661921708185,59.252669039146
,,IDAT,,Se ocupa del medio ambiente,"Empresa que se ocupa del medio ambiente, de la preservación de la naturaleza",1.6,1.76,2.4,2.88,9.44,12.32,15.36,18.08,7.04,12.32,16.8,100,625,7.015384615385,63.461538461539
,AP,IDAR,,Alumbrado público,Alumbrado público,3.8,2.84,4.64,8.24,10.2,11.88,17.6,18.68,10.08,9.84,2.2,100,2500,6.548057259714,57.464212678937
,,IDAT,,Disponible en todo el municipio,Alumbrado público disponible en todo el municipio,3.36,1.92,3.84,9.12,11.04,14.08,19.2,17.28,8.96,8.8,2.4,100,625,6.518032786885,55.573770491803
,,IDAT,,Calidad del AP,Calles y plaza bien alumbradas (Alumbrado público de calidad),3.52,2.24,4.48,7.04,11.2,10.08,16.48,20.8,12.32,10.88,0.96,100,625,6.739903069467,61.066235864297
,,IDAT,,"Mantenimiento del alumbrado público en calles, avenidas","El mantenimiento que le hacen al alumbrado público en calles y avenidas (cambio de lámparas, postes etc.)",4.48,3.68,5.92,9.12,10.08,11.36,16.96,17.76,10.56,8.64,1.44,100,625,6.36038961039,54.707792207792
,,IDAT,,"Mantenimiento del alumbrado público en plazas, parques, etc","El mantenimiento que le hacen al alumbrado público en plazas, parques, lugares emblemáticos (cambio de lámparas, postes etc.)",3.84,3.52,4.32,7.68,8.48,12,17.76,18.88,8.48,11.04,4,100,625,6.573333333333,58.5
,PR,IDAT,,Precio de la factura,Precio de la factura,15.36,7.84,13.44,20.32,17.44,16.32,3.52,4.16,0.96,0.64,0,100,625,4.1072,9.28
,ISG,-,,Índice de satisfacción general,Índice de satisfacción general,1.44,1.12,3.68,4.16,10.56,13.44,24,20.32,11.84,9.44,0,100,625,6.9632,65.6
